ID,N,k_geo,Dec_geo,Inc_geo,a95_geo,k_tc,Dec_tc,Inc_tc,a95_tc,comments
Lev10-INT,18,19,272.8,-66.2,8.2,3,158.7,-42.8,24.7,
Lev10-HT,11,3,311.7,-11,30.1,19,321.9,-65,10.7,
Lev11-INT,27,14,207.9,-30.6,7.8,6,210.4,-4,12.4,
Lev11-HT,18,10,194.2,29.2,11.5,41,179.6,53.7,5.4,
Krav01-LOW,10,59.7,4.1,70.9,6.3,96.8,181.2,85.6,4.9,data from both B-G and T-O
Krav01-INT,9,31.3,209.2,-66,9.3,117.6,284.3,-79.7,4.8,data from both B-G and T-O
Krav01-HT,6,14.9,118.5,5.3,17.9,13.3,118.3,-6.3,19,data from B-G
Evans_HT,193,NaN,NaN,NaN,NaN,5.8,331.9,-62.6,4.6,
Z09_cgl_INT,20,32.3,200.7,-62.2,5.8,32.3,212.3,-5.8,5.8,
Z104_cgl_INT,31,165.4,174.8,-61.7,2,165.2,61.9,-71.4,2,
Teel_mag,23,29.2,187.2,-64.7,5.7,37.4,236.6,-34.7,5,
Teel_hem,17,16.7,183.6,5.4,9,15.3,181.2,6.5,9.4,
