tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	Z59.1	Z59	SO-CMD-NORTH	150.1	42.7	194.2		0.0	-79.0	2.4		
This study	unknown	Z59.2	Z59	SO-CMD-NORTH	153.5	42.7	194.2		0.0	-76.0	2.6		
This study	unknown	Z59.3	Z59	SO-CMD-NORTH	153.4	42.7	194.2		0.0	-81.0	2.8		
This study	unknown	Z59.4	Z59	SO-CMD-NORTH	151.8	42.7	194.2		0.0	-79.0	2.9		
This study	unknown	Z59.5	Z59	SO-CMD-NORTH	173.4	42.7	194.2		0.0	-62.0	2.3		
This study	unknown	Z59.6	Z59	SO-CMD-NORTH	197.4	42.7	194.2		0.0	-58.0	2.5		
This study	unknown	Z59.7	Z59	SO-CMD-NORTH	159.4	42.7	194.2		0.0	-74.0	2.7		
This study	unknown	Z59.8	Z59	SO-CMD-NORTH	152.3	42.7	194.2		0.0	-70.0	2.5		
This study	unknown	Z59.9	Z59	SO-CMD-NORTH	110.7	42.7	194.2		0.0	-56.0	2.6		
This study	unknown	Z64.1	Z64	SO-CMD-NORTH	-31.5	36.2	201.2		0.0	-57.0	205.4		
This study	unknown	Z64.2	Z64	SO-CMD-NORTH	42.6	36.2	201.2		0.0	-62.0	205.3		
This study	unknown	Z64.5	Z64	SO-CMD-NORTH	-73.6	36.2	201.2		0.0	-43.0	204		
This study	unknown	Z64.6	Z64	SO-CMD-NORTH	230.5	36.2	201.2		0.0	-29.0	205.1		
This study	unknown	Z64.7	Z64	SO-CMD-NORTH	21.5	36.2	201.2		0.0	-25.0	205.2		
This study	unknown	Z64.8	Z64	SO-CMD-NORTH	34.7	36.2	201.2		0.0	-30.0	205.2		
This study	unknown	Z65.1	Z65	SO-CMD-NORTH	-20.0	36.2	201.2		0.0	-54.0	224.6		
This study	unknown	Z65.2	Z65	SO-CMD-NORTH	25.0	36.2	201.2		0.0	-26.0	224.4		
This study	unknown	Z65.3	Z65	SO-CMD-NORTH	-47.4	36.2	201.2		0.0	-27.0	224.1		
This study	unknown	Z65.4	Z65	SO-CMD-NORTH	8.3	36.2	201.2		0.0	-28.0	224.3		
This study	unknown	Z65.5	Z65	SO-CMD-NORTH	-67.3	36.2	201.2		0.0	-79.0	224.8		
This study	unknown	Z65.6	Z65	SO-CMD-NORTH	257.5	36.2	201.2		0.0	-44.0	225		
This study	unknown	Z65.7	Z65	SO-CMD-NORTH	-36.1	36.2	201.2		0.0	-31.0	225.2		
This study	unknown	Z65.8	Z65	SO-CMD-NORTH	236.3	36.2	201.2		0.0	-41.0	224.9		
This study	unknown	Z66.1	Z66	SO-CMD-NORTH	230.1	35.0	207.7		0.0	-57.0	287.7		
This study	unknown	Z66.2	Z66	SO-CMD-NORTH	259.8	35.0	207.7		0.0	-93.0	286.8		
This study	unknown	Z66.3	Z66	SO-CMD-NORTH	213.4	35.0	207.7		0.0	-54.0	287.2		
This study	unknown	Z66.4	Z66	SO-CMD-NORTH	193.0	35.0	207.7		0.0	-60.0	287		
This study	unknown	Z66.5	Z66	SO-CMD-NORTH	218.1	35.0	207.7		0.0	-49.0	287.4		
This study	unknown	Z66.6	Z66	SO-CMD-NORTH	185.8	35.0	207.7		0.0	-57.0	288.1		
This study	unknown	Z66.7	Z66	SO-CMD-NORTH	153.8	35.0	207.7		0.0	-53.0	289.4		
This study	unknown	Z66.8	Z66	SO-CMD-NORTH	139.3	35.0	207.7		0.0	-44.0	289.7		
This study	unknown	Z70.1	Z70	SO-CMD-NORTH	20.5	38.3	210.4		0.0	-13.0	395.5		
This study	unknown	Z70.2	Z70	SO-CMD-NORTH	-30.7	38.3	210.4		0.0	-77.0	396.3		
This study	unknown	Z70.3	Z70	SO-CMD-NORTH	-42.0	38.3	210.4		0.0	-64.0	396.5		
This study	unknown	Z70.4	Z70	SO-CMD-NORTH	212.1	38.3	210.4		0.0	-31.0	396.4		
This study	unknown	Z70.5	Z70	SO-CMD-NORTH	229.3	38.3	210.4		0.0	-54.0	396.6		
This study	unknown	Z70.6	Z70	SO-CMD-NORTH	-8.7	38.3	210.4		0.0	-62.0	397		
This study	unknown	Z70.7	Z70	SO-CMD-NORTH	23.3	38.3	210.4		0.0	-51.0	397.5		
This study	unknown	Z70.8	Z70	SO-CMD-NORTH	49.3	38.3	210.4		0.0	-33.0	397.7		
This study	unknown	Z71.1	Z71	SO-CMD-NORTH	59.3	38.3	210.4		0.0	-28.0	466.9		
This study	unknown	Z71.2	Z71	SO-CMD-NORTH	200.9	38.3	210.4		0.0	-40.0	467.1		
This study	unknown	Z71.3	Z71	SO-CMD-NORTH	89.5	38.3	210.4		0.0	-42.0	467.3		
This study	unknown	Z71.4	Z71	SO-CMD-NORTH	202.3	38.3	210.4		0.0	-40.0	467.9		
This study	unknown	Z71.5	Z71	SO-CMD-NORTH	136.7	38.3	210.4		0.0	-51.0	467		
This study	unknown	Z71.6	Z71	SO-CMD-NORTH	126.0	38.3	210.4		0.0	-23.0	468.3		
This study	unknown	Z71.7	Z71	SO-CMD-NORTH	149.0	38.3	210.4		0.0	-51.0	468.1		
This study	unknown	Z71.8	Z71	SO-CMD-NORTH	90.2	38.3	210.4		0.0	-55.0	467.5		
This study	unknown	Z72.1	Z72	SO-CMD-NORTH	208.5	38.2	220.2		0.0	-47.0	480.1		
This study	unknown	Z72.2	Z72	SO-CMD-NORTH	192.4	38.2	220.2		0.0	-60.0	480.1		
This study	unknown	Z72.3	Z72	SO-CMD-NORTH	186.4	38.2	220.2		0.0	-59.0	480.1		
This study	unknown	Z72.4	Z72	SO-CMD-NORTH	121.8	38.2	220.2		0.0	-21.0	480.8		
This study	unknown	Z72.5	Z72	SO-CMD-NORTH	71.5	38.2	220.2		0.0	-51.0	482.4		
This study	unknown	Z72.6	Z72	SO-CMD-NORTH	93.2	38.2	220.2		0.0	-36.0	482.3		
This study	unknown	Z72.7	Z72	SO-CMD-NORTH	83.0	38.2	220.2		0.0	-41.0	482.3		
This study	unknown	Z73.1	Z73	SO-CMD-NORTH	95.7	38.2	220.2		0.0	-18.0	547.9		
This study	unknown	Z73.2	Z73	SO-CMD-NORTH	231.0	38.2	220.2		0.0	-36.0	548.1		
This study	unknown	Z73.3	Z73	SO-CMD-NORTH	-28.5	38.2	220.2		0.0	-67.0	548.4		
This study	unknown	Z73.4	Z73	SO-CMD-NORTH	-87.0	38.2	220.2		0.0	-35.0	548.7		
This study	unknown	Z73.5	Z73	SO-CMD-NORTH	-64.4	38.2	220.2		0.0	-31.0	548.9		
This study	unknown	Z73.6	Z73	SO-CMD-NORTH	-24.0	38.2	220.2		0.0	-33.0	549.2		
This study	unknown	Z73.7	Z73	SO-CMD-NORTH	-63.2	38.2	220.2		0.0	-33.0	549.3		
This study	unknown	Z73.8	Z73	SO-CMD-NORTH	-23.6	38.2	220.2		0.0	-37.0	549.4		
This study	unknown	Z74.1	Z74	SO-CMD-NORTH	-46.6	38.2	220.2		0.0	-67.0	552.8		
This study	unknown	Z74.2	Z74	SO-CMD-NORTH	-24.6	38.2	220.2		0.0	-55.0	552.8		
This study	unknown	Z74.3	Z74	SO-CMD-NORTH	-37.6	38.2	220.2		0.0	-43.0	553.2		
This study	unknown	Z74.4	Z74	SO-CMD-NORTH	-31.6	38.2	220.2		0.0	-42.0	553.6		
This study	unknown	Z74.5	Z74	SO-CMD-NORTH	-42.6	38.2	220.2		0.0	-40.0	553.9		
This study	unknown	Z74.6	Z74	SO-CMD-NORTH	-41.6	38.2	220.2		0.0	-52.0	553.8		
This study	unknown	Z74.7	Z74	SO-CMD-NORTH	75.4	38.2	220.2		0.0	-22.0	553.7		
This study	unknown	Z74.8	Z74	SO-CMD-NORTH	-65.6	38.2	220.2		0.0	-27.0	554.4		
This study	unknown	Z76.1	Z76	SO-CMD-NORTH	209.3	38.2	220.2		0.0	-68.0	597.6		
This study	unknown	Z76.2	Z76	SO-CMD-NORTH	206.8	38.2	220.2		0.0	-78.0	597.8		
This study	unknown	Z76.3	Z76	SO-CMD-NORTH	216.1	38.2	220.2		0.0	-71.0	598.6		
This study	unknown	Z76.4	Z76	SO-CMD-NORTH	234.6	38.2	220.2		0.0	-68.0	598.6		
This study	unknown	Z76.5	Z76	SO-CMD-NORTH	234.3	38.2	220.2		0.0	-64.0	598.6		
This study	unknown	Z76.6	Z76	SO-CMD-NORTH	219.9	38.2	220.2		0.0	-66.0	598.6		
This study	unknown	Z76.7	Z76	SO-CMD-NORTH	99.4	38.2	220.2		0.0	-78.0	599.6		
This study	unknown	Z76.8	Z76	SO-CMD-NORTH	192.4	38.2	220.2		0.0	-63.0	599.3		
This study	unknown	Z77.1	Z77	SO-CMD-NORTH	222.1	38.2	220.2		0.0	-36.0	513.9		
This study	unknown	Z77.2	Z77	SO-CMD-NORTH	172.7	38.2	220.2		0.0	-63.0	514		
This study	unknown	Z77.3	Z77	SO-CMD-NORTH	193.1	38.2	220.2		0.0	-50.0	541.6		
This study	unknown	Z77.4	Z77	SO-CMD-NORTH	180.4	38.2	220.2		0.0	-53.0	514.4		
This study	unknown	Z77.5	Z77	SO-CMD-NORTH	201.8	38.2	220.2		0.0	-46.0	514.1		
This study	unknown	Z77.6	Z77	SO-CMD-NORTH	207.0	38.2	220.2		0.0	-48.0	514.4		
This study	unknown	Z77.7	Z77	SO-CMD-NORTH	85.6	38.2	220.2		0.0	-43.0	515.1		
This study	unknown	Z77.8	Z77	SO-CMD-NORTH	153.4	38.2	220.2		0.0	-73.0	515.1		
This study	unknown	Z78.1	Z78	SO-CMD-NORTH	265.4	38.2	220.2		0.0	-31.0	675.7		
This study	unknown	Z78.2	Z78	SO-CMD-NORTH	125.4	38.2	220.2		0.0	-18.0	676.6		
This study	unknown	Z78.3	Z78	SO-CMD-NORTH	87.4	38.2	220.2		0.0	-88.0	676.9		
This study	unknown	Z78.4	Z78	SO-CMD-NORTH	183.6	38.2	220.2		0.0	-25.0	676.4		
This study	unknown	Z78.5	Z78	SO-CMD-NORTH	-55.3	38.2	220.2		0.0	-46.0	675.8		
This study	unknown	Z78.6	Z78	SO-CMD-NORTH	-50.4	38.2	220.2		0.0	-23.0	675.7		
This study	unknown	Z78.7	Z78	SO-CMD-NORTH	108.5	38.2	220.2		0.0	-56.0	676.3		
This study	unknown	Z78.8	Z78	SO-CMD-NORTH	126.2	38.2	220.2		0.0	-53.0	676.5		
This study	unknown	Z78.9	Z78	SO-CMD-NORTH	248.9	38.2	220.2		0.0	-70.0	676.9		
This study	unknown	Z78.10	Z78	SO-CMD-NORTH	132.9	38.2	220.2		0.0	-50.0	677.6		
This study	unknown	Z79.1	Z79	SO-CMD-NORTH	232.4	38.2	220.2		0.0	-57.0	717.5		
This study	unknown	Z79.2	Z79	SO-CMD-NORTH	261.1	38.2	220.2		0.0	-49.0	717.6		
This study	unknown	Z79.3	Z79	SO-CMD-NORTH	225.9	38.2	220.2		0.0	-41.0	717.8		
This study	unknown	Z79.4	Z79	SO-CMD-NORTH	260.7	38.2	220.2		0.0	-50.0	717.9		
This study	unknown	Z79.5	Z79	SO-CMD-NORTH	230.2	38.2	220.2		0.0	-40.0	718.2		
This study	unknown	Z79.6	Z79	SO-CMD-NORTH	249.8	38.2	220.2		0.0	-42.0	718.3		
This study	unknown	Z79.7	Z79	SO-CMD-NORTH	226.6	38.2	220.2		0.0	-44.0	719		
This study	unknown	Z79.8	Z79	SO-CMD-NORTH	189.0	38.2	220.2		0.0	-85.0	719.1		
This study	unknown	Z80.1	Z80	SO-CMD-NORTH	-8.3	38.2	220.2		0.0	-89.0	737.1		
This study	unknown	Z80.2	Z80	SO-CMD-NORTH	-13.0	38.2	220.2		0.0	-84.0	737.1		
This study	unknown	Z80.3	Z80	SO-CMD-NORTH	249.6	38.2	220.2		0.0	-57.0	737.4		
This study	unknown	Z80.4	Z80	SO-CMD-NORTH	-38.1	38.2	220.2		0.0	-37.0	738.7		
This study	unknown	Z80.5	Z80	SO-CMD-NORTH	-48.4	38.2	220.2		0.0	-42.0	738.8		
This study	unknown	Z80.6	Z80	SO-CMD-NORTH	-17.8	38.2	220.2		0.0	-52.0	739.2		
This study	unknown	Z80.7	Z80	SO-CMD-NORTH	-29.5	38.2	220.2		0.0	-42.0	739.3		
This study	unknown	Z80.8	Z80	SO-CMD-NORTH	5.5	38.2	220.2		0.0	-31.0	739		
This study	unknown	Z81.1	Z81	SO-CMD-NORTH	60.2	38.2	220.2		0.0	-38.0	747.7		
This study	unknown	Z81.2	Z81	SO-CMD-NORTH	55.6	38.2	220.2		0.0	-36.0	747.7		
This study	unknown	Z81.3	Z81	SO-CMD-NORTH	47.3	38.2	220.2		0.0	-41.0	747.9		
This study	unknown	Z81.5	Z81	SO-CMD-NORTH	23.2	38.2	220.2		0.0	-24.0	747.9		
This study	unknown	Z81.6	Z81	SO-CMD-NORTH	37.5	38.2	220.2		0.0	-36.0	478.4		
This study	unknown	Z81.7	Z81	SO-CMD-NORTH	7.6	38.2	220.2		0.0	-34.0	478.6		
This study	unknown	Z81.8	Z81	SO-CMD-NORTH	40.8	38.2	220.2		0.0	-43.0	748.7		
This study	unknown	Z82.1	Z82	SO-CMD-NORTH	5.9	38.2	220.2		0.0	-28.0	754.7		
This study	unknown	Z82.2	Z82	SO-CMD-NORTH	13.7	38.2	220.2		0.0	-22.0	754.7		
This study	unknown	Z82.3	Z82	SO-CMD-NORTH	1.0	38.2	220.2		0.0	-24.0	754.7		
This study	unknown	Z82.4	Z82	SO-CMD-NORTH	-17.2	38.2	220.2		0.0	-31.0	754.7		
This study	unknown	Z82.5	Z82	SO-CMD-NORTH	-4.8	38.2	220.2		0.0	-26.0	754.7		
This study	unknown	Z82.6	Z82	SO-CMD-NORTH	33.6	38.2	220.2		0.0	-30.0	754.7		
This study	unknown	Z82.7	Z82	SO-CMD-NORTH	42.4	38.2	220.2		0.0	-40.0	754.7		
This study	unknown	Z82.8	Z82	SO-CMD-NORTH	30.8	38.2	220.2		0.0	-46.0	754.7		
This study	unknown	Z83.1	Z83	SO-CMD-NORTH	-75.4	40.3	198.9		0.0	-27.0	131		
This study	unknown	Z83.2	Z83	SO-CMD-NORTH	241.4	40.3	198.9		0.0	-33.0	131		
This study	unknown	Z83.3	Z83	SO-CMD-NORTH	4.0	40.3	198.9		0.0	-24.0	131		
This study	unknown	Z83.4	Z83	SO-CMD-NORTH	241.3	40.3	198.9		0.0	-36.0	131		
This study	unknown	Z83.5	Z83	SO-CMD-NORTH	-82.6	40.3	198.9		0.0	-14.0	131		
This study	unknown	Z83.6	Z83	SO-CMD-NORTH	-57.6	40.3	198.9		0.0	-44.0	131		
This study	unknown	Z83.8	Z83	SO-CMD-NORTH	-81.6	40.3	198.9		0.0	-27.0	131		
This study	unknown	Z84.1	Z84	SO-CMD-NORTH	155.0	40.3	199.4		0.0	-42.0	219.4		
This study	unknown	Z84.2	Z84	SO-CMD-NORTH	216.6	40.3	199.4		0.0	-49.0	219.4		
This study	unknown	Z84.3	Z84	SO-CMD-NORTH	206.3	40.3	199.4		0.0	-49.0	219.4		
This study	unknown	Z84.4	Z84	SO-CMD-NORTH	210.1	40.3	199.4		0.0	-52.0	219.4		
This study	unknown	Z84.5	Z84	SO-CMD-NORTH	162.6	40.3	199.4		0.0	-28.0	219.4		
This study	unknown	Z84.6	Z84	SO-CMD-NORTH	161.9	40.3	199.4		0.0	-26.0	219.4		
This study	unknown	Z84.7	Z84	SO-CMD-NORTH	164.9	40.3	199.4		0.0	-26.0	219.4		
This study	unknown	Z84.8	Z84	SO-CMD-NORTH	157.2	40.3	199.4		0.0	-24.0	219.4		
This study	unknown	Z85.1	Z85	SO-CMD-NORTH	126.3	40.3	198.9		0.0	-45.0	241.5		
This study	unknown	Z85.2	Z85	SO-CMD-NORTH	127.8	40.3	198.9		0.0	-60.0	241.5		
This study	unknown	Z85.3	Z85	SO-CMD-NORTH	158.4	40.3	198.9		0.0	-32.0	241.5		
This study	unknown	Z85.4	Z85	SO-CMD-NORTH	144.8	40.3	198.9		0.0	-13.0	241.5		
This study	unknown	Z85.5	Z85	SO-CMD-NORTH	184.1	40.3	198.9		0.0	-39.0	241.5		
This study	unknown	Z85.6	Z85	SO-CMD-NORTH	179.8	40.3	198.9		0.0	-28.0	241.5		
This study	unknown	Z85.7	Z85	SO-CMD-NORTH	170.5	40.3	198.9		0.0	-28.0	241.5		
This study	unknown	Z85.8	Z85	SO-CMD-NORTH	226.1	40.3	198.9		0.0	-29.0	241.5		
This study	unknown	Z87.1	Z87	SO-CMD-NORTH	8.4	38.0	227.4		0.0	-28.0	2.9		
This study	unknown	Z87.2	Z87	SO-CMD-NORTH	30.5	38.0	227.4		0.0	-39.0	3.4		
This study	unknown	Z87.3	Z87	SO-CMD-NORTH	-41.6	38.0	227.4		0.0	-67.0	3.9		
This study	unknown	Z87.4	Z87	SO-CMD-NORTH	16.3	38.0	227.4		0.0	-35.0	4.7		
This study	unknown	Z87.5	Z87	SO-CMD-NORTH	15.7	38.0	227.4		0.0	-31.0	4.7		
This study	unknown	Z87.6	Z87	SO-CMD-NORTH	55.4	38.0	227.4		0.0	-45.0	4.7		
This study	unknown	Z87.7	Z87	SO-CMD-NORTH	31.4	38.0	227.4		0.0	-29.0	4.6		
This study	unknown	Z87.8	Z87	SO-CMD-NORTH	17.4	38.0	227.4		0.0	-39.0	4.6		
This study	unknown	Z88.1	Z88	SO-CMD-NORTH	6.4	38.0	227.4		0.0	-72.0	10.9		
This study	unknown	Z88.2	Z88	SO-CMD-NORTH	-9.6	38.0	227.4		0.0	-39.0	11		
This study	unknown	Z88.3	Z88	SO-CMD-NORTH	54.4	38.0	227.4		0.0	-35.0	11.1		
This study	unknown	Z88.4	Z88	SO-CMD-NORTH	32.3	38.0	227.4		0.0	-27.0	11.3		
This study	unknown	Z88.5	Z88	SO-CMD-NORTH	-62.3	38.0	227.4		0.0	-33.0	11.5		
