tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	unknown	Z59.1	Z59	Z59.1a	1.200e-05	
This study	unknown	Z59.2	Z59	Z59.2a	7.700e-06	
This study	unknown	Z59.3	Z59	Z59.3a	1.050e-05	
This study	unknown	Z59.4	Z59	Z59.4a	1.040e-05	
This study	unknown	Z59.5	Z59	Z59.5a	8.800e-06	
This study	unknown	Z59.6	Z59	Z59.6a	1.050e-05	
This study	unknown	Z59.7	Z59	Z59.7a	1.000e-05	
This study	unknown	Z59.8	Z59	Z59.8a	1.000e-05	
This study	unknown	Z59.9	Z59	Z59.9a	6.500e-06	
This study	unknown	Z64.1	Z64	Z64.1a	1.290e-05	
This study	unknown	Z64.2	Z64	Z64.2a	1.030e-05	
This study	unknown	Z64.5	Z64	Z64.5a	1.430e-05	
This study	unknown	Z64.6	Z64	Z64.6a	1.160e-05	
This study	unknown	Z64.7	Z64	Z64.7a	1.370e-05	
This study	unknown	Z64.8	Z64	Z64.8a	1.300e-05	
This study	unknown	Z65.1	Z65	Z65.1a	1.610e-05	
This study	unknown	Z65.2	Z65	Z65.2a	1.060e-05	
This study	unknown	Z65.3	Z65	Z65.3a	1.470e-05	
This study	unknown	Z65.4	Z65	Z65.4a	8.300e-06	
This study	unknown	Z65.5	Z65	Z65.5a	1.200e-05	
This study	unknown	Z65.6	Z65	Z65.6a	1.060e-05	
This study	unknown	Z65.7	Z65	Z65.7a	1.070e-05	
This study	unknown	Z65.8	Z65	Z65.8a	1.020e-05	
This study	unknown	Z66.1	Z66	Z66.1a	1.520e-05	
This study	unknown	Z66.2	Z66	Z66.2a	1.560e-05	
This study	unknown	Z66.3	Z66	Z66.3a	1.380e-05	
This study	unknown	Z66.4	Z66	Z66.4a	1.680e-05	
This study	unknown	Z66.5	Z66	Z66.5a	9.500e-06	
This study	unknown	Z66.6	Z66	Z66.6a	1.570e-05	
This study	unknown	Z66.7	Z66	Z66.7a	1.440e-05	
This study	unknown	Z66.8	Z66	Z66.8a	1.600e-05	
This study	unknown	Z70.1	Z70	Z70.1a	1.530e-05	
This study	unknown	Z70.2	Z70	Z70.2a	1.490e-05	
This study	unknown	Z70.3	Z70	Z70.3a	1.270e-05	
This study	unknown	Z70.4	Z70	Z70.4a	1.560e-05	
This study	unknown	Z70.5	Z70	Z70.5a	1.530e-05	
This study	unknown	Z70.6	Z70	Z70.6a	1.390e-05	
This study	unknown	Z70.7	Z70	Z70.7a	1.320e-05	
This study	unknown	Z70.8	Z70	Z70.8a	1.380e-05	
This study	unknown	Z71.1	Z71	Z71.1a	1.520e-05	
This study	unknown	Z71.2	Z71	Z71.2a	1.470e-05	
This study	unknown	Z71.3	Z71	Z71.3a	1.480e-05	
This study	unknown	Z71.4	Z71	Z71.4a	1.400e-05	
This study	unknown	Z71.5	Z71	Z71.5a	1.570e-05	
This study	unknown	Z71.6	Z71	Z71.6a	1.500e-05	
This study	unknown	Z71.7	Z71	Z71.7a	1.540e-05	
This study	unknown	Z71.8	Z71	Z71.8a	1.510e-05	
This study	unknown	Z72.1	Z72	Z72.1a	1.430e-05	
This study	unknown	Z72.2	Z72	Z72.2a	1.160e-05	
This study	unknown	Z72.3	Z72	Z72.3a	1.180e-05	
This study	unknown	Z72.4	Z72	Z72.4a	9.300e-06	
This study	unknown	Z72.5	Z72	Z72.5a	8.100e-06	
This study	unknown	Z72.6	Z72	Z72.6a	1.410e-05	
This study	unknown	Z72.7	Z72	Z72.7a	1.390e-05	
This study	unknown	Z73.1	Z73	Z73.1a	1.210e-05	
This study	unknown	Z73.2	Z73	Z73.2a	1.800e-05	
This study	unknown	Z73.3	Z73	Z73.3a	2.290e-05	
This study	unknown	Z73.4	Z73	Z73.4a	1.740e-05	
This study	unknown	Z73.5	Z73	Z73.5a	2.470e-05	
This study	unknown	Z73.6	Z73	Z73.6a	2.330e-05	
This study	unknown	Z73.7	Z73	Z73.7a	2.540e-05	
This study	unknown	Z73.8	Z73	Z73.8a	1.810e-05	
This study	unknown	Z74.1	Z74	Z74.1a	1.640e-05	
This study	unknown	Z74.2	Z74	Z74.2a	1.200e-05	
This study	unknown	Z74.3	Z74	Z74.3a	1.220e-05	
This study	unknown	Z74.4	Z74	Z74.4a	1.620e-05	
This study	unknown	Z74.5	Z74	Z74.5a	1.780e-05	
This study	unknown	Z74.6	Z74	Z74.6a	1.870e-05	
This study	unknown	Z74.7	Z74	Z74.7a	1.360e-05	
This study	unknown	Z74.8	Z74	Z74.8a	1.800e-05	
This study	unknown	Z76.1	Z76	Z76.1a	1.500e-05	
This study	unknown	Z76.2	Z76	Z76.2a	8.500e-06	
This study	unknown	Z76.3	Z76	Z76.3a	9.200e-06	
This study	unknown	Z76.4	Z76	Z76.4a	1.150e-05	
This study	unknown	Z76.5	Z76	Z76.5a	1.410e-05	
This study	unknown	Z76.6	Z76	Z76.6a	1.500e-05	
This study	unknown	Z76.7	Z76	Z76.7a	1.350e-05	
This study	unknown	Z76.8	Z76	Z76.8a	1.460e-05	
This study	unknown	Z77.1	Z77	Z77.1a	1.180e-05	
This study	unknown	Z77.2	Z77	Z77.2a	1.310e-05	
This study	unknown	Z77.3	Z77	Z77.3a	1.200e-05	
This study	unknown	Z77.4	Z77	Z77.4a	1.300e-05	
This study	unknown	Z77.5	Z77	Z77.5a	1.300e-05	
This study	unknown	Z77.6	Z77	Z77.6a	9.300e-06	
This study	unknown	Z77.7	Z77	Z77.7a	1.280e-05	
This study	unknown	Z77.8	Z77	Z77.8a	1.020e-05	
This study	unknown	Z78.1	Z78	Z78.1a	1.250e-05	
This study	unknown	Z78.2	Z78	Z78.2a	1.240e-05	
This study	unknown	Z78.3	Z78	Z78.3a	1.200e-05	
This study	unknown	Z78.4	Z78	Z78.4a	1.230e-05	
This study	unknown	Z78.5	Z78	Z78.5a	1.050e-05	
This study	unknown	Z78.6	Z78	Z78.6a	7.300e-06	
This study	unknown	Z78.7	Z78	Z78.7a	1.100e-05	
This study	unknown	Z78.8	Z78	Z78.8a	1.260e-05	
This study	unknown	Z78.9	Z78	Z78.9a	1.290e-05	
This study	unknown	Z78.10	Z78	Z78.10a	1.430e-05	
This study	unknown	Z79.1	Z79	Z79.1a	9.100e-06	
This study	unknown	Z79.2	Z79	Z79.2a	6.900e-06	
This study	unknown	Z79.3	Z79	Z79.3a	8.400e-06	
This study	unknown	Z79.4	Z79	Z79.4a	1.330e-05	
This study	unknown	Z79.5	Z79	Z79.5a	1.000e-05	
This study	unknown	Z79.6	Z79	Z79.6a	1.160e-05	
This study	unknown	Z79.7	Z79	Z79.7a	9.500e-06	
This study	unknown	Z79.8	Z79	Z79.8a	1.040e-05	
This study	unknown	Z80.1	Z80	Z80.1a	1.000e-05	
This study	unknown	Z80.2	Z80	Z80.2a	1.360e-05	
This study	unknown	Z80.3	Z80	Z80.3a	1.220e-05	
This study	unknown	Z80.4	Z80	Z80.4a	1.250e-05	
This study	unknown	Z80.5	Z80	Z80.5a	9.900e-06	
This study	unknown	Z80.6	Z80	Z80.6a	1.360e-05	
This study	unknown	Z80.7	Z80	Z80.7a	1.280e-05	
This study	unknown	Z80.8	Z80	Z80.8a	1.030e-05	
This study	unknown	Z81.1	Z81	Z81.1a	1.000e-05	
This study	unknown	Z81.2	Z81	Z81.2a	9.400e-06	
This study	unknown	Z81.3	Z81	Z81.3a	1.000e-05	
This study	unknown	Z81.5	Z81	Z81.5a	8.300e-06	
This study	unknown	Z81.6	Z81	Z81.6a	1.130e-05	
This study	unknown	Z81.7	Z81	Z81.7a	7.600e-06	
This study	unknown	Z81.8	Z81	Z81.8a	7.300e-06	
This study	unknown	Z82.1	Z82	Z82.1a	1.380e-05	
This study	unknown	Z82.2	Z82	Z82.2a	1.050e-05	
This study	unknown	Z82.3	Z82	Z82.3a	9.200e-06	
This study	unknown	Z82.4	Z82	Z82.4a	1.100e-05	
This study	unknown	Z82.5	Z82	Z82.5a	1.190e-05	
This study	unknown	Z82.6	Z82	Z82.6a	1.070e-05	
This study	unknown	Z82.7	Z82	Z82.7a	1.250e-05	
This study	unknown	Z82.8	Z82	Z82.8a	1.360e-05	
This study	unknown	Z83.1	Z83	Z83.1a	9.900e-06	
This study	unknown	Z83.2	Z83	Z83.2a	1.020e-05	
This study	unknown	Z83.3	Z83	Z83.3a	1.040e-05	
This study	unknown	Z83.4	Z83	Z83.4a	1.140e-05	
This study	unknown	Z83.5	Z83	Z83.5a	8.800e-06	
This study	unknown	Z83.6	Z83	Z83.6a	1.030e-05	
This study	unknown	Z83.8	Z83	Z83.8a	9.800e-06	
This study	unknown	Z84.1	Z84	Z84.1a	1.090e-05	
This study	unknown	Z84.2	Z84	Z84.2a	7.600e-06	
This study	unknown	Z84.3	Z84	Z84.3a	8.400e-06	
This study	unknown	Z84.4	Z84	Z84.4a	1.150e-05	
This study	unknown	Z84.5	Z84	Z84.5a	1.150e-05	
This study	unknown	Z84.6	Z84	Z84.6a	8.500e-06	
This study	unknown	Z84.7	Z84	Z84.7a	1.170e-05	
This study	unknown	Z84.8	Z84	Z84.8a	1.130e-05	
This study	unknown	Z85.1	Z85	Z85.1a	6.600e-06	
