tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
9.9832e+02	9.9832e+02	Years Cal BP	2.4	348.3	65.1	466	46.7000	96.1000	9	9	0	8.9828	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	LOW	Site VGP, coord system = 100 component: HEM	0	3.9	3.1	82.0	13.4	9
9.9832e+02	9.9832e+02	Years Cal BP	7.4	109.9	-58.9	49	46.7000	96.1000	9	9	0	8.8370	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	MAG	Site VGP, coord system = 100 component: HEM	0	9.8	9.6	-40.1	204.9	9
9.9832e+02	9.9832e+02	Years Cal BP	2.8	166.4	-79.7	330	46.7000	96.1000	9	9	0	8.9757	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	MID	Site VGP, coord system = 100 component: HEM	0	10.7	3.6	-65.7	264.8	9
9.9832e+02	9.9832e+02	Years Cal BP	2.4	222.8	67.4	465	46.7000	96.1000	9	9	0	8.9828	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	LOW	Site VGP, coord system = 100 component: HEM	100	4.3	3.1	13.7	69.5	9
9.9832e+02	9.9832e+02	Years Cal BP	7.4	57.6	-41.6	49	46.7000	96.1000	9	9	0	8.8372	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	MAG	Site VGP, coord system = 100 component: HEM	100	6.8	9.6	2.3	225.5	9
9.9832e+02	9.9832e+02	Years Cal BP	2.8	22.8	-56.1	329	46.7000	96.1000	9	9	0	8.9757	i		This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z59	MID	Site VGP, coord system = 100 component: HEM	100	3.4	3.6	4.2	257.9	9
9.9832e+02	9.9832e+02	Years Cal BP	31.4	29.2	14.3	10	46.7000	96.1000	4	4	0	3.6846	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	LOW	Site VGP, coord system = 100 component: HEM	0	22.2	40.6	43.3	234.4	4
9.9832e+02	9.9832e+02	Years Cal BP	17.6	290.8	42.4	50	46.7000	96.1000	3	3	0	2.9601	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	MAG	Site VGP, coord system = 100 component: HEM	0	16.3	22.8	31.6	9.4	3
9.9832e+02	9.9832e+02	Years Cal BP	6.9	114.2	-83.4	124	46.7000	96.1000	5	5	0	4.9677	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	MID	Site VGP, coord system = 100 component: HEM	0	41.2	8.9	-50.6	257.2	5
9.9832e+02	9.9832e+02	Years Cal BP	5.5	288.0	47.0	148	46.7000	96.1000	6	6	0	5.9663	i		This study	unknown	Z64	Z64.1a:Z64.2a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL-O:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	HEM	Site VGP, coord system = 100 component: HEM	0	5.5	7.1	32.1	14.6	6
9.9832e+02	9.9832e+02	Years Cal BP	31.5	33.4	50.0	9	46.7000	96.1000	4	4	0	3.6833	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	LOW	Site VGP, coord system = 100 component: HEM	100	33.6	40.8	59.8	206.0	4
9.9832e+02	9.9832e+02	Years Cal BP	17.6	262.6	32.7	50	46.7000	96.1000	3	3	0	2.9599	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	MAG	Site VGP, coord system = 100 component: HEM	100	14.3	22.8	8.0	23.7	3
9.9832e+02	9.9832e+02	Years Cal BP	6.9	32.4	-53.6	124	46.7000	96.1000	5	5	0	4.9678	i		This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	MID	Site VGP, coord system = 100 component: HEM	100	8.0	8.9	4.1	249.7	5
9.9832e+02	9.9832e+02	Years Cal BP	5.5	257.0	34.6	148	46.7000	96.1000	6	6	0	5.9663	i		This study	unknown	Z64	Z64.1a:Z64.2a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL-O:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z64	HEM	Site VGP, coord system = 100 component: HEM	100	4.6	7.1	5.2	28.4	6
9.9832e+02	9.9832e+02	Years Cal BP	11.5	31.4	63.2	28	46.7000	96.1000	7	7	0	6.7890	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	LOW	Site VGP, coord system = 100 component: HEM	0	17.5	14.9	68.1	179.8	7
9.9832e+02	9.9832e+02	Years Cal BP	10.5	123.0	-56.5	34	46.7000	96.1000	7	7	0	6.8230	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	MAG	Site VGP, coord system = 100 component: HEM	0	13.0	13.6	-47.5	194.4	7
9.9832e+02	9.9832e+02	Years Cal BP	8.0	141.8	-69.3	70	46.7000	96.1000	6	6	0	5.9290	i		This study	unknown	Z65	Z65.1a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	MID	Site VGP, coord system = 100 component: HEM	0	15.5	10.4	-64.9	214.6	6
9.9832e+02	9.9832e+02	Years Cal BP	3.4	141.0	-59.3	268	46.7000	96.1000	8	8	0	7.9739	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	HEM	Site VGP, coord system = 100 component: HEM	0	4.6	4.4	-61.2	187.2	8
9.9832e+02	9.9832e+02	Years Cal BP	11.5	175.8	79.2	28	46.7000	96.1000	7	7	0	6.7888	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	LOW	Site VGP, coord system = 100 component: HEM	100	42.1	14.9	25.9	97.8	7
9.9832e+02	9.9832e+02	Years Cal BP	10.5	74.6	-47.7	34	46.7000	96.1000	7	7	0	6.8226	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	MAG	Site VGP, coord system = 100 component: HEM	100	10.7	13.6	-11.0	216.7	7
9.9832e+02	9.9832e+02	Years Cal BP	8.1	58.0	-59.5	70	46.7000	96.1000	6	6	0	5.9287	i		This study	unknown	Z65	Z65.1a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	MID	Site VGP, coord system = 100 component: HEM	100	10.9	10.5	-11.2	234.9	6
9.9832e+02	9.9832e+02	Years Cal BP	3.4	76.8	-57.5	266	46.7000	96.1000	8	8	0	7.9737	i		This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z65	HEM	Site VGP, coord system = 100 component: HEM	100	4.3	4.4	-19.0	222.0	8
9.9832e+02	9.9832e+02	Years Cal BP	3.6	137.3	-49.7	233	46.7000	96.1000	8	8	0	7.9700	i		This study	unknown	Z66	Z66.1a:Z66.2a:Z66.3a:Z66.4a:Z66.5a:Z66.6a:Z66.7a:Z66.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z66	HEM	Site VGP, coord system = 100 component: HEM	0	3.8	4.7	-53.5	175.2	8
9.9832e+02	9.9832e+02	Years Cal BP	3.6	94.6	-48.5	234	46.7000	96.1000	8	8	0	7.9700	i		This study	unknown	Z66	Z66.1a:Z66.2a:Z66.3a:Z66.4a:Z66.5a:Z66.6a:Z66.7a:Z66.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z66	HEM	Site VGP, coord system = 100 component: HEM	100	3.7	4.7	-24.0	204.4	8
9.9832e+02	9.9832e+02	Years Cal BP	6.1	353.0	64.1	85	46.7000	96.1000	8	8	0	7.9173	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	LOW	Site VGP, coord system = 100 component: HEM	0	9.6	7.9	85.1	358.5	8
9.9832e+02	9.9832e+02	Years Cal BP	18.6	307.6	37.2	18	46.7000	96.1000	5	5	0	4.7763	i		This study	unknown	Z70	Z70.3a:Z70.4a:Z70.5a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	MAG	Site VGP, coord system = 100 component: HEM	0	16.0	24.1	40.5	353.0	5
9.9832e+02	9.9832e+02	Years Cal BP	7.3	198.7	-82.0	59	46.7000	96.1000	8	8	0	7.8820	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	MID	Site VGP, coord system = 100 component: HEM	0	36.0	9.4	-61.2	286.5	8
9.9832e+02	9.9832e+02	Years Cal BP	6.3	190.2	-70.4	77	46.7000	96.1000	8	8	0	7.9094	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	HEM	Site VGP, coord system = 100 component: HEM	0	12.9	8.2	-79.9	311.8	8
9.9832e+02	9.9832e+02	Years Cal BP	6.1	253.2	67.1	84	46.7000	96.1000	8	8	0	7.9169	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	LOW	Site VGP, coord system = 100 component: HEM	100	10.8	7.9	25.3	53.0	8
9.9832e+02	9.9832e+02	Years Cal BP	18.6	279.8	32.5	18	46.7000	96.1000	5	5	0	4.7765	i		This study	unknown	Z70	Z70.3a:Z70.4a:Z70.5a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	MAG	Site VGP, coord system = 100 component: HEM	100	15.1	24.1	19.4	11.6	5
9.9832e+02	9.9832e+02	Years Cal BP	7.3	33.6	-59.5	59	46.7000	96.1000	8	8	0	7.8818	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	MID	Site VGP, coord system = 100 component: HEM	100	9.9	9.4	-2.0	251.1	8
9.9832e+02	9.9832e+02	Years Cal BP	6.3	49.4	-69.2	77	46.7000	96.1000	8	8	0	7.9094	i		This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z70	HEM	Site VGP, coord system = 100 component: HEM	100	12.2	8.2	-18.0	247.2	8
9.9832e+02	9.9832e+02	Years Cal BP	5.3	2.5	63.0	110	46.7000	96.1000	8	8	0	7.9363	i		This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	LOW	Site VGP, coord system = 100 component: HEM	0	8.0	6.9	87.2	237.2	8
9.9832e+02	9.9832e+02	Years Cal BP	8.3	66.9	-67.8	54	46.7000	96.1000	7	7	0	6.8897	i		This study	unknown	Z71	Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-O:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	MAG	Site VGP, coord system = 100 component: HEM	0	15.1	10.7	-23.2	236.9	7
9.9832e+02	9.9832e+02	Years Cal BP	2.9	187.5	-83.4	371	46.7000	96.1000	8	8	0	7.9811	i		This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	MID	Site VGP, coord system = 100 component: HEM	0	17.3	3.8	-59.6	279.4	8
9.9832e+02	9.9832e+02	Years Cal BP	6.2	205.7	-88.6	82	46.7000	96.1000	8	8	0	7.9141	i		This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:DE-BFL-O:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	HEM	Site VGP, coord system = 100 component: HEM	0	174.0	8.0	-49.2	278.0	8
