tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	2.4	LOW	348.3	Site direction included in results table		65.1	9.9827e+02	9.9827e+02	Years Cal BP	466	9	9	0		8.9828	0
	This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	8.3	MAG	110.2	Site direction included in results table		-59.8	9.9827e+02	9.9827e+02	Years Cal BP	40	9	9	0		8.7985	0
	This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	2.4	LOW	222.8	Site direction included in results table		67.4	9.9827e+02	9.9827e+02	Years Cal BP	465	9	9	0		8.9828	100
	This study	unknown	Z59	Z59.1a:Z59.2a:Z59.3a:Z59.4a:Z59.5a:Z59.6a:Z59.7a:Z59.8a:Z59.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	8.3	MAG	56.7	Site direction included in results table		-42.1	9.9827e+02	9.9827e+02	Years Cal BP	40	9	9	0		8.7991	100
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	31.4	LOW	29.2	Site direction included in results table		14.3	9.9827e+02	9.9827e+02	Years Cal BP	10	4	4	0		3.6846	0
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	17.6	MAG	290.8	Site direction included in results table		42.4	9.9827e+02	9.9827e+02	Years Cal BP	50	3	3	0		2.9601	0
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.9	MID	114.2	Site direction included in results table		-83.4	9.9827e+02	9.9827e+02	Years Cal BP	124	5	5	0		4.9677	0
	This study	unknown	Z64	Z64.1a:Z64.2a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL-O:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	5.5	HEM	288.0	Site direction included in results table		47.0	9.9827e+02	9.9827e+02	Years Cal BP	148	6	6	0		5.9663	0
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	31.5	LOW	33.4	Site direction included in results table		50.0	9.9827e+02	9.9827e+02	Years Cal BP	9	4	4	0		3.6833	100
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	17.6	MAG	262.6	Site direction included in results table		32.7	9.9827e+02	9.9827e+02	Years Cal BP	50	3	3	0		2.9599	100
	This study	unknown	Z64	Z64.1a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.9	MID	32.4	Site direction included in results table		-53.6	9.9827e+02	9.9827e+02	Years Cal BP	124	5	5	0		4.9678	100
	This study	unknown	Z64	Z64.1a:Z64.2a:Z64.5a:Z64.6a:Z64.7a:Z64.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL-O:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	5.5	HEM	257.0	Site direction included in results table		34.6	9.9827e+02	9.9827e+02	Years Cal BP	148	6	6	0		5.9663	100
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	18.1	LOW	16.7	Site direction included in results table		61.9	9.9827e+02	9.9827e+02	Years Cal BP	10	8	8	0		7.3197	0
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	13.7	MAG	129.1	Site direction included in results table		-58.4	9.9827e+02	9.9827e+02	Years Cal BP	17	8	8	0		7.5931	0
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.4	HEM	141.0	Site direction included in results table		-59.3	9.9827e+02	9.9827e+02	Years Cal BP	268	8	8	0		7.9739	0
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	18.1	LOW	215.8	Site direction included in results table		81.6	9.9827e+02	9.9827e+02	Years Cal BP	10	8	8	0		7.3192	100
