tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	152.6	188.9	l	g	-10.7	1.1	3	-1
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	773	K		3	MAG	u	11.3	350.4	l	g	10.5	15.6	12	-1
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	748	623	K		3	MID	u	8.1	6.6	l	g	-1.8	4.0	5	-1
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	152.6	352.7	l	g	66.6	1.1	3	0
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	773	K		3	MAG	u	11.3	125.7	l	g	-66.5	15.6	12	0
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	748	623	K		3	MID	u	8.1	185.9	l	g	-78.7	4.0	5	0
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	152.6	216.8	l	g	67.7	1.1	3	100
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	773	K		3	MAG	u	11.3	50.0	l	g	-50.6	15.6	12	100
	This study	unknown	Z59.1	Z59	Z59.1a	Z59.1a:LP-DIR-T	hargrave 2016-05-29 12:44:11	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	748	623	K		3	MID	u	8.1	17.3	l	g	-58.4	4.0	5	100
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	158.4	188.3	l	g	-9.0	1.0	3	-1
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	855	803	K		3	MAG	u	24.8	336.3	l	g	25.3	11.4	9	-1
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	14.9	2.7	l	g	-5.1	1.9	8	-1
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	158.4	353.6	l	g	65.6	1.0	3	0
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	855	803	K		3	MAG	u	24.8	123.0	l	g	-44.4	11.4	9	0
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	14.9	170.2	l	g	-80.7	1.9	8	0
