,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z74,,,,,,,,,,,,,,,,,,,,,
site_name,Zavkhan tuff,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71872,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.06258,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,mag compass orientation (IGRF corrected),552.8,43,67.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,43.4,130.2
.2a,mag compass orientation (IGRF corrected),552.8,65,55.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,65.4,130.2
.3a,mag compass orientation (IGRF corrected),553.2,52,43.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,52.4,130.2
.4a,mag compass orientation (IGRF corrected),553.6,58,42.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,58.4,130.2
.5a,mag compass orientation (IGRF corrected),553.9,47,40.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,47.4,130.2
.6a,mag compass orientation (IGRF corrected),553.8,48,52.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,48.4,130.2
.7a,mag compass orientation (IGRF corrected),553.7,165,22.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,165.4,130.2
.8a,mag compass orientation (IGRF corrected),554.4,24,27.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,4.0,1.0,1.0,,nan,nan,[0.39817975782256376; 67.364945229688317; 58580.861320601551],0.398179757823,insufficient data,24.4,130.2
