tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-10-01 15:44:35	LT-NO:LP-DIR-T	pmagpy-3.4.0	0.8	284.7		g	-52.5	1.92e-06	1	1	5.41e-10	4.26e-10	1.77e-10	u	273	0	0	273
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-10-14 16:14:56	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	0.8	286.9		g	-51.8	1.91e-06	2	1	1.07e-10	6.39e-10	3.28e-10	u	273	0	0	77
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-10-22 19:57:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	289.5		g	-51.1	1.92e-06	3	1	9.55e-10	1.02e-09	4.52e-10	u	273	0	0	348.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-11-04 17:32:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	287.6		g	-52.9	1.93e-06	4	1	4.13e-10	4.61e-10	3.81e-10	u	273	0	0	373.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-11-11 15:45:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	291.3		g	-53.2	1.92e-06	5	1	3.59e-10	5.29e-10	1.35e-10	u	273	0	0	423.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-12-02 16:16:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	290.4		g	-52.4	1.86e-06	6	1	5.08e-10	4.87e-10	7.53e-11	u	273	0	0	473.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2015-12-10 19:29:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	289.3		g	-52.3	1.75e-06	7	1	1.36e-09	4.40e-10	3.89e-10	u	273	0	0	523.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-01-07 13:23:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	289.4		g	-51.9	1.60e-06	8	1	1.82e-09	7.54e-10	1.67e-10	u	273	0	0	573.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-01-11 13:31:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.3	289.2		g	-50.8	1.47e-06	9	1	1.96e-09	1.02e-09	1.29e-10	u	273	0	0	623.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-01-13 12:11:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	288.7		g	-49.3	1.28e-06	10	1	1.60e-09	8.01e-10	1.20e-10	u	273	0	0	673.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-01-20 14:16:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	290.9		g	-49.2	1.26e-06	11	1	9.27e-10	6.90e-10	9.17e-11	u	273	0	0	698.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-01-22 12:53:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.7	289.0		g	-49.0	1.12e-06	12	1	1.67e-09	8.99e-10	1.04e-10	u	273	0	0	723.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-03 13:47:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	287.5		g	-49.6	1.06e-06	13	1	7.09e-10	2.73e-10	2.07e-10	u	273	0	0	748.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-05 11:16:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	287.4		g	-49.7	9.55e-07	14	1	4.98e-10	1.99e-10	1.62e-10	u	273	0	0	773.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-11 14:17:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	287.9		g	-49.2	8.63e-07	15	1	4.56e-10	2.56e-10	1.45e-10	u	273	0	0	788.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-19 12:37:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	284.4		g	-49.8	8.14e-07	16	1	2.73e-10	2.02e-10	1.94e-10	u	273	0	0	803.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-22 11:37:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	286.0		g	-49.1	7.60e-07	17	1	2.92e-10	1.56e-10	1.88e-10	u	273	0	0	818.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-26 11:11:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	287.3		g	-49.3	7.18e-07	18	1	4.38e-10	2.37e-10	1.45e-10	u	273	0	0	823.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-02-29 11:07:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	282.7		g	-48.8	6.80e-07	19	1	3.53e-10	2.01e-10	1.20e-10	u	273	0	0	828.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-03-03 15:00:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	286.6		g	-49.2	6.57e-07	20	1	4.70e-10	2.16e-10	1.14e-10	u	273	0	0	833.0
This study	unknown	Z78.10	Z78	Z78.10a	Z78.10a:LP-DIR-T	hargrave 2016-03-10 14:11:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	285.9		g	-49.1	6.30e-07	21	1	6.71e-10	2.11e-10	9.28e-11	u	273	0	0	838.0
