,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z80,,,,,,,,,,,,,,,,,,,,,
site_name,upper Zavkhan basalt flow,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71828,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.05845,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,737.1,82,89.0,129.8,38.2,yes,140,8,2014,6,5,11,25,,nan,81.7,[0.39974870130800449; 67.364779451460308; 58580.611761369852],0.399748701308,-0.3,81.7,130.2
.2a,sun compass orientation,737.1,76,84.0,129.8,38.2,yes,135,8,2014,6,5,11,26,,nan,77.0,[0.39974864678738331; 67.364779575685859; 58580.611815273463],0.399748646787,1.0,77.0,130.2
.3a,sun compass orientation,737.4,338,57.0,129.8,38.2,yes,37,8,2014,6,5,11,28,,nan,339.6,[0.39974853774614649; 67.36477982413686; 58580.611923080745],0.399748537746,1.6,339.6,130.2
.4a,sun compass orientation,738.7,52,37.0,129.8,38.2,yes,109,8,2014,6,5,11,29,,nan,51.9,[0.39974848322552398; 67.36477994836234; 58580.61197698435],0.399748483226,-0.1,51.9,130.2
.5a,sun compass orientation,738.8,41,42.0,129.8,38.2,yes,98,8,2014,6,5,11,31,,nan,41.6,[0.39974837418427844; 67.364780196813342; 58580.612084791661],0.399748374184,0.6,41.6,130.2
.6a,sun compass orientation,739.2,72,52.0,129.8,38.2,yes,128,8,2014,6,5,11,33,,nan,72.2,[0.39974826514303619; 67.364780445264358; 58580.612192598936],0.399748265143,0.2,72.2,130.2
.7a,sun compass orientation,739.3,60,42.0,129.8,38.2,yes,116,8,2014,6,5,11,34,,nan,60.5,[0.399748210622411; 67.364780569489881; 58580.612246502606],0.399748210622,0.5,60.5,130.2
.8a,sun compass orientation,739,95,31.0,129.8,38.2,yes,150,8,2014,6,5,11,37,,nan,95.5,[0.39974804706053702; 67.364780942166405; 58580.612408213492],0.399748047061,0.5,95.5,130.2
